Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Postal Code,City,State,Country,Region,Market,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
27699,IN-2015-KM1622527-42369,31/12/2015,7/1/2016,Standard Class,KM-1622527,Kalyca Meade,Corporate,,Shantou,Guangdong,China,Eastern Asia,Asia Pacific,TEC-AC-4178,Technology,Accessories,"Enermax Numeric Keypad, Bluetooth",$171.99,3,0,$6.84,16.66,Medium
27701,IN-2015-KM1622527-42369,31/12/2015,7/1/2016,Standard Class,KM-1622527,Kalyca Meade,Corporate,,Shantou,Guangdong,China,Eastern Asia,Asia Pacific,OFF-EN-3088,Office Supplies,Envelopes,"Ames Business Envelopes, Recycled",$67.20,5,0,$24.75,4.06,Medium
27700,IN-2015-KM1622527-42369,31/12/2015,7/1/2016,Standard Class,KM-1622527,Kalyca Meade,Corporate,,Shantou,Guangdong,China,Eastern Asia,Asia Pacific,OFF-PA-4002,Office Supplies,Paper,"Eaton Note Cards, 8.5 x 11",$79.47,3,0,$25.38,1.41,Medium
36428,CA-2015-BP11185140-42368,30/12/2015,6/1/2016,Standard Class,BP-111851404,Ben Peterman,Corporate,92804,Anaheim,California,United States,Western US,USCA,FUR-FU-5416,Furniture,Furnishings,Nu-Dell Executive Frame,$101.12,8,0,$37.41,11.07,Low
31942,CA-2015-CC12430140-42369,31/12/2015,6/1/2016,Standard Class,CC-124301402,Chuck Clark,Home Office,47201,Columbus,Indiana,United States,Central US,USCA,OFF-AP-4222,Office Supplies,Appliances,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",$209.30,2,0,$56.51,8.32,Medium
45518,PL-2015-LA6780103-42368,30/12/2015,6/1/2016,Standard Class,LA-6780103,Laura Armstrong,Corporate,,Lodz,Lodz,Poland,Eastern Europe,Europe,OFF-SU-4996,Office Supplies,Supplies,"Kleencut Trimmer, Steel",$244.98,6,0,$39.06,21.7,Medium
22773,IN-2015-MH1778559-42369,31/12/2015,6/1/2016,Standard Class,MH-1778559,Maya Herman,Corporate,,Surabaya,Jawa Timur,Indonesia,Southeastern Asia,Asia Pacific,TEC-PH-3793,Technology,Phones,"Cisco Headset, with Caller ID",$293.62,4,0.17,$88.42,13.57,Medium
6851,MX-2015-TD2099582-42369,31/12/2015,6/1/2016,Standard Class,TD-2099582,Tamara Dahlen,Consumer,,Juárez,Chihuahua,Mexico,Central America,LATAM,OFF-ST-4261,Office Supplies,Storage,"Fellowes Folders, Blue",$35.20,2,0,$9.12,3.448,Medium
50234,TZ-2015-CK2325129-42369,31/12/2015,6/1/2016,Standard Class,CK-2325129,Christine Kargatis,Home Office,,Dar es Salaam,Dar Es Salaam,Tanzania,Eastern Africa,Africa,OFF-LA-4542,Office Supplies,Labels,"Harbour Creations Removable Labels, Adjustable",$49.50,6,0,$6.84,2.15,Medium
45517,PL-2015-LA6780103-42368,30/12/2015,6/1/2016,Standard Class,LA-6780103,Laura Armstrong,Corporate,,Lodz,Lodz,Poland,Eastern Europe,Europe,OFF-BI-4830,Office Supplies,Binders,"Ibico Index Tab, Economy",$10.41,1,0,$3.51,1.52,Medium
